"Plot","Climate variables","Growth (G)","Mortality (M)","Ingrowth (I)"
"Ecotone (n=6)","WI","-0.465","0.775","0.022"
"","Tmax","-0.712","0.957**","-0.214"
"","Tmin","-0.364","0.045","-0.589"
"","Tmean","-0.660","0.599","-0.509"
"Subarctic (n=6)","WI","-0.084","0.304","0.076"
"","Tmax","-0.095","-0.060","-0.180"
"","Tmin","-0.072","-0.263","-0.281"
"","Tmean","-0.412","0.069","-0.568"
"Timberline (n=6)","WI","-0.399","-0.475","-0.538"
"","Tmax","-0.677","0.024","-0.677"
"","Tmin","-0.075","0.518","0.071"
"","Tmean","0.030","0.807","0.260"
"Pooled (n=18)","WI","-0.372","0.507*","-0.082"
"","Tmax","-0.439","0.611**","-0.085"
"","Tmin","-0.376","0.488*","-0.107"
"","Tmean","-0.464","0.432","-0.301"
