"","tmin","tmax","tmean"
"1965-01",-10.7,-3.6,-8
"1965-02",-10.3,-4.6,-9
"1965-03",-9.4,-2.3,-6.8
"1965-04",-5.3,5.1,0.5
"1965-05",4,14.4,9.6
"1965-06",9.5,18.2,13.3
"1965-07",14.2,20.4,15.4
"1965-08",13.8,24,18.9
"1965-09",10,17.4,12.5
"1965-10",3.6,11.1,6.3
"1965-11",-0.9,6.8,2.1
"1965-12",-6.3,-0.7,-5.2
"1966-01",-10.2,-4.4,-8.8
"1966-02",-8.8,-0.4,-4.9
"1966-03",-6.7,1.5,-3
"1966-04",-1.8,7.5,2.8
"1966-05",3.1,13.5,8.7
"1966-06",7.8,16.2,11.3
"1966-07",12.4,20.5,15.5
"1966-08",14.2,22.1,17.1
"1966-09",10.3,16,11.1
"1966-10",4.6,10.4,5.7
"1966-11",-1.8,5.4,0.8
"1966-12",-7.5,-2.4,-6.9
"1967-01",-10.7,-4.9,-9.3
"1967-02",-6.5,-3.7,-8.1
"1967-03",-8,1.5,-3
"1967-04",0,8.7,4
"1967-05",5.1,17.2,12.3
"1967-06",8.8,17.5,12.6
"1967-07",13.8,21.7,16.7
"1967-08",14.3,21,16
"1967-09",11,16.3,11.4
"1967-10",4,9.8,5.1
"1967-11",-1.8,5,0.4
"1967-12",-7.8,-3,-7.4
"1968-01",-11,-5.5,-9.9
"1968-02",-12.8,-6.7,-11.1
"1968-03",-7.8,1.1,-3.4
"1968-04",-1.1,8,3.3
"1968-05",3.4,13.3,8.5
"1968-06",8.9,17.6,12.7
"1968-07",14.2,22.4,17.4
"1968-08",17.7,22.4,17.4
"1968-09",10.4,17.7,12.8
"1968-10",4.6,10.3,5.6
"1968-11",-1.2,5,0.4
"1968-12",-3.7,2,-2.6
"1969-01",-8,-2.6,-7.1
"1969-02",-8.3,-2,-6.5
"1969-03",-8.7,-0.6,-5.1
"1969-04",-0.8,9.3,4.6
"1969-05",4.8,16.8,11.9
"1969-06",8.4,17.4,12.5
"1969-07",13,20.5,15.5
"1969-08",14,21.1,16.1
"1969-09",10.6,16.7,11.8
"1969-10",3.6,10.6,5.8
"1969-11",-1.1,5.1,0.5
"1969-12",-6.7,-1.6,-6.1
"1970-01",-12.3,-4.6,-9
"1970-02",-10.3,-2.3,-6.8
"1970-03",-11.5,-3.9,-8.3
"1970-04",-0.9,6.9,2.2
"1970-05",5.8,16.2,11.3
"1970-06",9.6,16.4,11.5
"1970-07",14.7,21.8,16.8
"1970-08",15.9,22.4,17.4
"1970-09",12.8,18.6,13.7
"1970-10",4.8,11.2,6.4
"1970-11",-1.3,4.5,-0.1
"1970-12",-6.6,-0.9,-5.4
"1971-01",-11.5,-3.6,-8
"1971-02",-9.2,-2.8,-7.2
"1971-03",-8.5,-0.6,-5.1
"1971-04",-1.1,8.9,4.2
"1971-05",5.4,14.6,9.8
"1971-06",9.8,17.5,12.6
"1971-07",14.6,21,16
"1971-08",15.5,22,17
"1971-09",11.9,16.3,11.4
"1971-10",3.8,9.2,4.5
"1971-11",-1,4.4,-0.2
"1971-12",-6.4,-2,-6.5
"1972-01",-7,1,-3.5
"1972-02",-9,-2.1,-6.6
"1972-03",-7,1.1,-3.4
"1972-04",3,8.9,4.2
"1972-05",5.1,15.2,10.3
"1972-06",9.8,18.8,13.9
"1972-07",14.8,21.2,16.2
"1972-08",14.9,21.5,16.5
