"pl","yr","pe","dep"
"ブナ坂",1999,122,NA
"ブナ坂",2000,165,NA
"ブナ坂",2001,161,NA
"ブナ坂",2002,130,NA
"ブナ坂",2003,167,NA
"ブナ坂",2004,130,319
"ブナ坂",2005,138,NA
"ブナ坂",2006,176,420
"ブナ坂",2007,144,200
"ブナ坂",2008,171,280
"ブナ坂",2009,127,200
"ブナ坂",2010,145,300
"ブナ坂",2011,163,340
"ブナ坂",2012,154,300
"ブナ坂",2013,167,300
"ブナ坂",2014,171,250
"ブナ坂",2015,160,390
"ブナ坂",2016,114,130
"ブナ坂",2017,157,330
"ブナ坂",2018,164,310
"ブナ坂",2019,149,230
"ブナ坂",2020,140,130
"ブナ坂",2021,131,270
"ブナ坂",2022,161,370
"ブナ坂",2023,127,190
"ブナ坂",2024,124,210
"ブナ平",1999,NA,NA
"ブナ平",2000,NA,NA
"ブナ平",2001,NA,NA
"ブナ平",2002,NA,NA
"ブナ平",2003,NA,NA
"ブナ平",2004,155,363
"ブナ平",2005,NA,369
"ブナ平",2006,197,410
"ブナ平",2007,156,210
"ブナ平",2008,183,350
"ブナ平",2009,168,210
"ブナ平",2010,155,350
"ブナ平",2011,179,360
"ブナ平",2012,179,330
"ブナ平",2013,185,310
"ブナ平",2014,177,280
"ブナ平",2015,168,360
"ブナ平",2016,143,160
"ブナ平",2017,168,360
"ブナ平",2018,172,340
"ブナ平",2019,157,300
"ブナ平",2020,159,200
"ブナ平",2021,159,320
"ブナ平",2022,172,420
"ブナ平",2023,145,220
"ブナ平",2024,135,220
"鏡石",1999,NA,NA
"鏡石",2000,221,NA
"鏡石",2001,209,NA
"鏡石",2002,206,NA
"鏡石",2003,233,NA
"鏡石",2004,198,NA
"鏡石",2005,221,NA
"鏡石",2006,252,NA
"鏡石",2007,229,NA
"鏡石",2008,229,NA
"鏡石",2009,233,NA
"鏡石",2010,221,NA
"鏡石",2011,235,NA
"鏡石",2012,226,NA
"鏡石",2013,248,NA
"鏡石",2014,242,NA
"鏡石",2015,228,NA
"鏡石",2016,188,NA
"鏡石",2017,242,NA
"鏡石",2018,238,NA
"鏡石",2019,211,NA
"鏡石",2020,221,NA
"鏡石",2021,205,NA
"鏡石",2022,247,NA
"鏡石",2023,181,NA
"鏡石",2024,212,NA
"松尾峠",1999,216,NA
"松尾峠",2000,229,NA
"松尾峠",2001,223,NA
"松尾峠",2002,221,NA
"松尾峠",2003,240,NA
"松尾峠",2004,195,485
"松尾峠",2005,219,400
"松尾峠",2006,229,580
"松尾峠",2007,226,400
"松尾峠",2008,227,520
"松尾峠",2009,235,420
"松尾峠",2010,216,400
"松尾峠",2011,230,520
"松尾峠",2012,222,400
"松尾峠",2013,245,460
"松尾峠",2014,226,440
"松尾峠",2015,220,520
"松尾峠",2016,183,300
"松尾峠",2017,215,560
"松尾峠",2018,226,460
"松尾峠",2019,217,440
"松尾峠",2020,227,440
"松尾峠",2021,232,380
"松尾峠",2022,229,460
"松尾峠",2023,181,340
"松尾峠",2024,206,420
"上ノ小平",1999,NA,NA
"上ノ小平",2000,NA,NA
"上ノ小平",2001,NA,NA
"上ノ小平",2002,NA,NA
"上ノ小平",2003,NA,NA
"上ノ小平",2004,162,426
"上ノ小平",2005,180,390
"上ノ小平",2006,198,500
"上ノ小平",2007,168,220
"上ノ小平",2008,195,380
"上ノ小平",2009,175,220
"上ノ小平",2010,157,370
"上ノ小平",2011,186,450
"上ノ小平",2012,188,390
"上ノ小平",2013,193,430
"上ノ小平",2014,200,360
"上ノ小平",2015,177,440
"上ノ小平",2016,147,160
"上ノ小平",2017,196,420
"上ノ小平",2018,179,340
"上ノ小平",2019,167,300
"上ノ小平",2020,167,200
"上ノ小平",2021,169,340
"上ノ小平",2022,188,460
"上ノ小平",2023,150,220
"上ノ小平",2024,167,220
"浄土山",1999,NA,NA
"浄土山",2000,NA,NA
"浄土山",2001,221,NA
"浄土山",2002,238,NA
"浄土山",2003,212,NA
"浄土山",2004,202,NA
"浄土山",2005,231,NA
"浄土山",2006,215,NA
"浄土山",2007,255,NA
"浄土山",2008,240,NA
"浄土山",2009,224,NA
"浄土山",2010,250,NA
"浄土山",2011,220,NA
"浄土山",2012,216,NA
"浄土山",2013,221,NA
"浄土山",2014,240,NA
"浄土山",2015,217,NA
"浄土山",2016,235,NA
"浄土山",2017,212,NA
"浄土山",2018,217,NA
"浄土山",2019,224,NA
"浄土山",2020,231,NA
"浄土山",2021,216,NA
"浄土山",2022,192,NA
"浄土山",2023,222,NA
"浄土山",2024,NA,NA
"美女平",1999,NA,NA
"美女平",2000,NA,NA
"美女平",2001,NA,NA
"美女平",2002,NA,NA
"美女平",2003,NA,NA
"美女平",2004,NA,246
"美女平",2005,NA,350
"美女平",2006,NA,360
"美女平",2007,NA,160
"美女平",2008,NA,280
"美女平",2009,NA,180
"美女平",2010,NA,320
"美女平",2011,NA,340
"美女平",2012,NA,260
"美女平",2013,NA,280
"美女平",2014,NA,220
"美女平",2015,NA,360
"美女平",2016,NA,120
"美女平",2017,NA,280
"美女平",2018,NA,300
"美女平",2019,NA,200
"美女平",2020,NA,120
"美女平",2021,NA,220
"美女平",2022,NA,300
"美女平",2023,NA,160
"美女平",2024,NA,160
"美松",1999,NA,NA
"美松",2000,NA,NA
"美松",2001,NA,NA
"美松",2002,NA,NA
"美松",2003,NA,NA
"美松",2004,206,NA
"美松",2005,NA,NA
"美松",2006,235,600
"美松",2007,225,420
"美松",2008,222,540
"美松",2009,235,360
"美松",2010,215,400
"美松",2011,234,580
"美松",2012,221,400
"美松",2013,236,500
"美松",2014,217,420
"美松",2015,225,540
"美松",2016,184,360
"美松",2017,241,NA
"美松",2018,230,NA
"美松",2019,210,NA
"美松",2020,227,NA
"美松",2021,235,NA
"美松",2022,245,NA
"美松",2023,206,NA
"美松",2024,215,NA
"有峰",1999,NA,NA
"有峰",2000,NA,NA
"有峰",2001,NA,NA
"有峰",2002,NA,NA
"有峰",2003,NA,NA
"有峰",2004,153,NA
"有峰",2005,NA,NA
"有峰",2006,NA,NA
"有峰",2007,NA,NA
"有峰",2008,190,NA
"有峰",2009,174,NA
"有峰",2010,164,NA
"有峰",2011,179,NA
"有峰",2012,183,NA
"有峰",2013,192,NA
"有峰",2014,192,NA
"有峰",2015,168,NA
"有峰",2016,143,NA
"有峰",2017,175,NA
"有峰",2018,169,NA
"有峰",2019,159,NA
"有峰",2020,163,NA
"有峰",2021,160,NA
"有峰",2022,170,NA
"有峰",2023,144,NA
"有峰",2024,134,NA
"富山",1999,20,51
"富山",2000,20,47
"富山",2001,40,55
"富山",2002,15,35
"富山",2003,16,55
"富山",2004,30,70
"富山",2005,41,69
"富山",2006,67,79
"富山",2007,7,20
"富山",2008,16,36
"富山",2009,9,27
"富山",2010,25,63
"富山",2011,62,77
"富山",2012,45,95
"富山",2013,23,43
"富山",2014,18,25
"富山",2015,38,52
"富山",2016,17,51
"富山",2017,18,39
"富山",2018,53,84
"富山",2019,8,19
"富山",2020,5,15
"富山",2021,47,128
"富山",2022,52,50
"富山",2023,17,27
"富山",2024,11,47
