"","id","spj","sp","form","zone","sp_full"
"1",1197,"オオシラビソ","Abies mariesii","cl","Subarctic","Abies mariesii Masters"
"2",1289,"キタゴヨウ","Pinus parviflora","cl","Ecotone","Pinus parviflora Sieb. et Zucc. var. pentaphylla (Mayr) Henry"
"3",1319,"コメツガ","Tsuga diversifolia","cl","Subarctic","Tsuga diversifolia (Maxim.) Masters"
"4",1439,"クロベ","Thuja standishii","cl","Ecotone","Thuja standishii (Gord.) Carr."
"5",1463,"スギ","Cryptomeria japonica","cl","Temperate","Cryptomeria japonica (L. fil.) D. Don"
"6",1513,"ホオノキ","Magnolia obovata","bl","Temperate","Magnolia obovata Thunb."
"7",2586,"ブナ","Fagus crenata","bl","Temperate","Fagus crenata Blume"
"8",2617,"ミズナラ","Quercus crispula","bl","Temperate","Quercus crispula Blume"
"9",2669,"ケヤマハンノキ","Alnus hirsuta","bl","Temperate","Alnus hirsuta (Spach) Rupr."
"10",2702,"ネコシデ","Betula corylifolia","bl","Ecotone","Betula corylifolia Regel et Maxim."
"11",2709,"ダケカンバ","Betula ermanii","bl","Subarctic","Betula ermanii Cham."
"12",2726,"ウダイカンバ","Betula maximowicziana","bl","Temperate","Betula maximowicziana Regel"
"13",3586,"シナノキ","Tilia japonica","bl","Temperate","Tilia japonica (Miq.) Simonkai"
"14",5541,"ウワミズザクラ","Prunus grayana","bl","Temperate","Prunus grayana Maxim."
"15",6870,"ミズキ","Cornus controversa","bl","Temperate","Cornus controversa Hemsley"
"16",7406,"トチノキ","Aesculus turbinata","bl","Temperate","Aesculus turbinata Blume"
"17",7415,"ヤマモミジ","Acer amoenum","bl","Temperate","Acer amoenum Carr. var. matsumurae (Koidz.) Ogata"
"18",7438,"ハウチワカエデ","Acer japonicum","bl","Temperate","Acer japonicum Thunb."
"19",7445,"イタヤカエデ","Acer mono","bl","Temperate","Acer mono Maxim. subsp. marmoratum (Nicholson) Kitamura"
"20",7485,"ウリハダカエデ","Acer rufinerve","bl","Temperate","Acer rufinerve Sieb. et Zucc."
"21",7622,"キハダ","Phellodendron amurense","bl","Temperate","Phellodendron amurense Ruprect"
"22",7776,"コシアブラ","Acanthopanax sciadophylloides","bl","Temperate","Acanthopanax sciadophylloides Franch. et Savat."
"23",7805,"ハリギリ","Kalopanax pictus","bl","Temperate","Kalopanax pictus (Thunb.) Nakai"
"24",8819,"アオダモ","Fraxinus lanuginosa","bl","Temperate","Fraxinus lanuginosa Koidz. f. serrata (Nakai) Murata"
