,X,plot,period,yr1,yr2,Tmin,Tmax,Tmean,WI,n0,n1,nS,t,p,m,r
1,1,Kaminokodaira,1,2000,2004,2.459,11.259,6.793,51.14988,30,28,28,4,-1.72482178717379,1.72482178717379,0
2,2,Kaminokodaira,2,2004,2007,1.959,11.259,6.739,51.72402,28,28,27,3,0,1.21225480569583,1.21225480569583
3,3,Kaminokodaira,3,2007,2010,1.959,11.259,6.7215,52.21614,28,32,28,3,4.45104642081742,0,4.45104642081742
4,4,Kaminokodaira,4,2010,2013,1.559,11.259,6.3715,52.70826,32,32,31,3,0,1.05828994381934,1.05828994381934
5,5,Kaminokodaira,5,2013,2018,0.959,11.859,6.37233333333333,53.36442,32,32,27,5,0,3.39798073590795,3.39798073590795
6,6,Kaminokodaira,6,2018,2024,1.559,12.359,6.92420173286706,54.26664,32,23,23,6,-5.50402811450962,5.50402811450961,0
7,7,Matsuotoge,1,1998,2002,-0.511000000000001,8.589,3.999,36.9048,160,163,157,4,0.464409639323386,0.473200247137971,0.937609886461357
8,8,Matsuotoge,2,2002,2005,-0.181,8.289,3.824,37.47894,163,160,159,3,-0.619212852431181,0.82819995288436,0.20898710045318
9,9,Matsuotoge,3,2005,2008,-1.011,7.989,3.4565,37.97106,160,159,154,3,-0.208987100453179,1.27404042733992,1.06505332688675
10,10,Matsuotoge,4,2008,2011,-1.011,8.289,3.664,38.46318,159,169,158,3,2.03315042342806,0.210305639775492,2.24345606320355
11,11,Matsuotoge,5,2011,2016,-1.411,8.489,3.33566666666667,39.11934,169,174,165,5,0.58313168582911,0.479064820449856,1.06219650627897
12,12,Matsuotoge,6,2016,2022,-2.011,8.889,3.63185714285714,40.02156,174,167,161,6,-0.684358113296232,1.29418223716777,0.609824123871536
13,13,Kagamiishi,1,1999,2004,-2.051,6.749,2.319,24.54724,126,128,119,5,0.314967139362782,1.14316827679897,1.45813541616175
14,14,Kagamiishi,2,2004,2007,-2.551,6.749,2.229,24.98468,128,140,124,3,2.9870719563229,1.05828994381934,4.04536190014225
15,15,Kagamiishi,3,2007,2009,-2.551,6.749,2.099,25.25808,140,145,139,2,1.75456599056351,0.358424473930625,2.11299046449413
16,16,Kagamiishi,4,2009,2012,-2.951,6.749,1.999,25.53148,145,156,144,3,2.43740882763209,0.230681428152459,2.66809025578455
17,17,Kagamiishi,5,2012,2017,-3.551,6.949,1.68733333333333,25.96892,156,156,151,5,0,0.651523408692253,0.651523408692253
18,18,Kagamiishi,6,2017,2022,-3.551,7.349,2.049,26.53819,156,157,151,5,0.12779596197542,0.651523408692253,0.779319370667674
