"wareki","year","min","max","mean"
"S40",1965,1.8,9,5.4
"S41",1966,1.8,8.8,5.3
"S42",1967,2.1,8.9,5.5
"S43",1968,2,9.1,5.55
"S44",1969,2.3,9.5,5.9
"S45",1970,2.1,9.1,5.6
"S46",1971,2,9.4,5.7
"S47",1972,2.4,10.4,6.4
"S48",1973,2,9.8,5.9
"S49",1974,1.7,9.3,5.5
"S50",1975,2.1,9.6,5.85
"S51",1976,1.8,9.3,5.55
"S52",1977,3,10.2,6.6
"S53",1978,2.6,10.3,6.45
"S54",1979,3.7,10.5,7.1
"S55",1980,3,9.2,6.1
"S56",1981,1.8,8.7,5.25
"S57",1982,2.8,9.8,6.3
"S58",1983,2.8,9.4,6.1
"S59",1984,2.2,8.9,5.55
"S60",1985,3.6,10.4,7
"S61",1986,2.6,9.6,6.1
"S62",1987,3.7,10.8,7.25
"S63",1988,3,9.3,6.15
"S64,H1",1989,3.5,10.4,6.95
"H2",1990,4.3,11.3,7.8
"H3",1991,3.9,10.4,7.15
"H4",1992,3.5,10.3,6.9
"H5",1993,2.7,9.2,5.95
"H6",1994,3.6,11,7.3
"H7",1995,2.8,9.7,6.25
"H8",1996,2,10.1,6.05
"H9",1997,2.9,10.8,6.85
"H10",1998,4.4,11.9,8.15
"H11",1999,3.4,11.3,7.35
"H12",2000,2.8,10.8,6.8
"H13",2001,2.9,10.8,6.85
"H14",2002,3.5,11.3,7.4
"H16",2004,4.4,11.6,8
"H18",2006,2.3,11.3,6.8
"H19",2007,2.7,11.3,7
"H20",2008,2.3,11.2,6.75
"H21",2009,2.6,11.6,7.1
"H22",2010,3.2,11.6,7.4
"H23",2011,2.4,10.9,6.65
"H24",2012,1.9,10.6,6.25
"H25",2013,2.1,11,6.55
"H27",2015,2.1,11.8,6.95
"H28",2016,2.9,11.5,7.2
"H29",2017,1.3,10.7,6
"H30",2018,2.4,12.2,7.3
"H31,R1",2019,2.1,11.9,7
"R2",2020,2.6,11.7,7.15
"R3",2021,2.3,12,7.15
"R4",2022,1.9,11.7,6.8
"R5",2023,2.8,12.7,7.75
