"","pn","plot","lb","sp","d01","d02","d03","d04","d05","d06","d07","f01","f02","f03","f04","f05","f06","f07","x","y"
"541",2,"Bunazaka",1,"ブナ",78.4,78.6,78.9,79.7,79.4,80.3,81,4,4,4,5,5,5,4,2.7,3.7
"542",2,"Bunazaka",2,"ホオノキ",27,25.6,25.3,24,23.9,23.6,23.5,0,0,0,0,0,0,0,8.4,8.5
"543",2,"Bunazaka",3,"スギ",112.2,112.5,113.7,114.4,115.1,116.6,118.4,4,4,5,5,4,4,4,16.5,9.9
"544",2,"Bunazaka",4,"ホオノキ",26.8,27.4,27.6,28.3,28.3,29,29.9,3,3,4,4,4,5,4,22.6,9.5
"545",2,"Bunazaka",5,"ホオノキ",13.1,13.2,13.5,13.7,13.9,14.2,14.3,3,3,3,3,4,4,3,26,9.7
"546",2,"Bunazaka",461,"ブナ",NA,NA,NA,NA,9.3,9.4,9.7,NA,NA,NA,NA,3,3,5,22,5.2
"547",2,"Bunazaka",462,"ブナ",NA,NA,NA,NA,9.4,10,11.5,NA,NA,NA,NA,4,5,5,24.6,2.3
"548",2,"Bunazaka",6,"ホオノキ",24.5,25.1,25.5,25.7,25.7,25.9,26.1,3,3,4,3,4,4,3,31.3,3.8
"549",2,"Bunazaka",7,"ホオノキ",46.7,47.2,47.8,48.2,48.4,49,49.2,4,4,5,5,4,4,3,32.1,3.8
"550",2,"Bunazaka",8,"ブナ",63.3,63.3,64.1,64.9,65.9,67.2,NA,5,5,5,5,5,4,-1,37.9,6.3
"551",2,"Bunazaka",463,"ハウチワカエデ",10.8,10.9,11,11,11.1,11.2,11.5,5,5,5,5,5,5,5,42.3,3.4
"552",2,"Bunazaka",464,"ブナ",NA,NA,NA,NA,8.8,8.9,9.3,NA,NA,NA,NA,4,5,5,45.8,0
"553",2,"Bunazaka",9,"ブナ",42.9,46,48.7,50.8,53.3,56.7,61.3,5,5,5,5,5,5,5,45.5,1.8
"554",2,"Bunazaka",465,"ブナ",NA,NA,NA,NA,9.6,9.6,9.9,NA,NA,NA,NA,4,4,4,45.8,4.3
"555",2,"Bunazaka",466,"ブナ",NA,NA,NA,NA,9.1,9.9,10.9,NA,NA,NA,NA,5,4,5,45.7,8.2
"556",2,"Bunazaka",467,"キハダ",12.4,12.9,13.3,13.7,14.1,15,15.4,4,4,4,4,4,5,3,48.6,8.8
"557",2,"Bunazaka",468,"ブナ",NA,NA,10,10.2,10.4,10.4,10.7,NA,NA,4,4,4,4,4,49.9,8.8
"558",2,"Bunazaka",10,"スギ",13.3,13.6,14.4,15.1,15.5,16.1,17.5,3,4,4,4,4,5,5,41.4,8.7
"559",2,"Bunazaka",11,"スギ",10,10.1,10.3,10.7,10.9,11.1,11.2,3,4,3,3,3,2,3,40.6,9.4
"560",2,"Bunazaka",12,"スギ",12.5,12.8,13.7,13.8,13.9,14.6,15.6,3,3,3,4,4,4,4,39.9,10.5
"561",2,"Bunazaka",469,"スギ",10.2,10.7,11.1,11.5,11.9,12.6,13,4,4,4,4,4,5,4,42,11.4
"562",2,"Bunazaka",13,"スギ",106.7,107.1,108.3,109.8,110.1,112.1,113.9,4,5,5,5,5,5,4,39.8,14
"563",2,"Bunazaka",470,"ブナ",NA,NA,NA,NA,9.1,9.8,11,NA,NA,NA,NA,5,5,5,46.1,13.9
"564",2,"Bunazaka",471,"ブナ",NA,10.9,12.5,14.1,15.7,17.7,20.7,NA,5,5,5,5,5,5,48,15.4
"565",2,"Bunazaka",14,"スギ",17.3,17.5,17.7,17.9,18,18.3,18.9,3,3,2,3,4,3,4,36.7,14.7
"566",2,"Bunazaka",15,"スギ",46.2,46.9,47.3,48,48.3,48.9,50,4,5,4,4,5,4,4,35.3,15.4
"567",2,"Bunazaka",16,"スギ",69.7,69.6,70.7,71.5,73.3,74.4,75.9,5,5,5,5,5,5,5,34.6,16.6
"568",2,"Bunazaka",17,"ホオノキ",37.1,37.7,38.6,39.3,39.4,39.9,40.4,4,4,4,4,5,5,5,33.2,16.6
"569",2,"Bunazaka",18,"スギ",95.6,95.7,96.9,98.2,100.4,101.2,103.3,5,5,5,5,5,5,5,34.5,12.2
"570",2,"Bunazaka",19,"ホオノキ",35.5,36.3,37.1,37.8,38.4,38.9,39.8,3,3,3,4,4,4,5,27.8,19
"571",2,"Bunazaka",20,"スギ",70.6,71.4,74.7,74.4,76.5,79.1,82.5,5,5,5,5,5,5,5,23.1,17.2
"572",2,"Bunazaka",21,"ホオノキ",35.3,36.3,37.4,37.8,38,39.3,39.5,3,3,3,3,4,4,4,23.7,14.1
"573",2,"Bunazaka",472,"ブナ",NA,NA,NA,10.1,10.4,10.9,12.4,NA,NA,NA,4,4,4,5,16.1,20.9
"574",2,"Bunazaka",473,"ブナ",NA,NA,NA,NA,9.8,10.4,11.2,NA,NA,NA,NA,4,5,5,16.1,20.9
"575",2,"Bunazaka",474,"ブナ",11.5,11.9,12.2,12.5,12.8,13.4,14.1,5,5,5,5,5,5,5,15.2,16.8
"576",2,"Bunazaka",475,"ブナ",NA,NA,NA,10,10.3,10.6,10.8,NA,NA,NA,4,4,4,4,11.7,17.5
"577",2,"Bunazaka",476,"ブナ",10.2,10.2,10.2,10.2,10.2,NA,NA,4,4,4,4,1,-1,-1,9.3,17.9
"578",2,"Bunazaka",22,"スギ",88.2,88.2,89.3,89.9,91.7,92.5,94.7,3,4,4,4,4,4,3,2.8,22.5
"579",2,"Bunazaka",23,"ブナ",64.5,65.1,65.7,66,66.9,67.8,68.7,5,5,5,5,5,5,4,6.3,22.2
"580",2,"Bunazaka",24,"スギ",85.5,85.2,86.3,86.5,87,87.8,89.1,3,4,4,4,5,4,3,7.1,24.7
"581",2,"Bunazaka",25,"スギ",61.7,62.5,64.1,65.6,66.6,69.1,71.7,5,5,4,5,4,5,4,11.4,25.8
"582",2,"Bunazaka",26,"スギ",76.4,77,78.5,81,82.6,85.2,88.3,5,5,5,5,5,5,4,12.4,26.2
"583",2,"Bunazaka",27,"スギ",262,261.2,264.2,263.8,263.7,265.7,265.3,4,4,4,4,4,4,4,24.3,29.5
"584",2,"Bunazaka",28,"スギ",19.7,19.8,19.7,19.4,19.5,19.3,19.1,3,2,2,1,2,1,0,27.6,26.5
"585",2,"Bunazaka",29,"スギ",33.1,33.8,34.4,35,35.7,37.1,39.2,4,4,4,4,5,5,5,24.9,21
"586",2,"Bunazaka",30,"スギ",27.2,28,28.8,29.4,30.1,31,32.3,4,3,4,4,4,4,4,27.6,20.6
"587",2,"Bunazaka",31,"スギ",15.5,15.7,15.8,16.2,16,16.2,16.9,4,5,3,4,4,4,4,28.1,19.8
"588",2,"Bunazaka",32,"スギ",10.4,10.4,10.4,10.3,10.2,10.1,10.1,2,1,1,0,0,0,0,24.2,17.6
"589",2,"Bunazaka",33,"ウワミズザクラ",22.8,23,23,23,23,NA,NA,3,2,2,1,2,-1,-1,29.2,21.2
"590",2,"Bunazaka",646,"ブナ",NA,NA,NA,NA,NA,NA,7.7,NA,NA,NA,NA,NA,NA,5,34.4,27.7
"591",2,"Bunazaka",34,"ウワミズザクラ",23.6,23.7,23.8,23.8,23.9,NA,NA,4,4,4,2,3,-1,-1,37.2,24.2
"592",2,"Bunazaka",35,"ウワミズザクラ",34.6,34.3,35,35.7,36.3,37.4,37.8,5,4,4,4,4,4,3,43.2,18.9
"593",2,"Bunazaka",36,"スギ",75.8,76.8,78.6,80.2,82.3,84.3,88,5,4,5,5,4,5,4,42.2,21.5
"594",2,"Bunazaka",647,"ハウチワカエデ",NA,NA,NA,NA,NA,NA,9.7,NA,NA,NA,NA,NA,NA,5,47,23.1
"595",2,"Bunazaka",37,"ハウチワカエデ",13.9,14.4,15,15.2,15.3,15.6,15.7,5,5,5,5,3,5,5,47.2,22.9
"596",2,"Bunazaka",477,"ブナ",NA,NA,NA,10.5,11.7,13.6,16.4,NA,NA,NA,5,5,5,5,48.1,21.2
"597",2,"Bunazaka",38,"ヤマモミジ",9.8,10.6,11.4,11.4,11.8,12,12.4,4,5,5,5,4,5,5,48.2,22.7
"598",2,"Bunazaka",39,"ヤマモミジ",10,10.6,11,11.7,12.5,13.1,13.9,4,5,4,5,5,5,5,48.2,22.7
"599",2,"Bunazaka",478,"ヤマモミジ",13.9,14.1,14.3,14.5,14.7,15,15.2,5,5,5,5,4,5,5,48.2,22.7
"600",2,"Bunazaka",479,"ヤマモミジ",13,13,13,13,12.9,13,12.9,4,4,4,4,4,4,5,48.2,22.7
"601",2,"Bunazaka",480,"ヤマモミジ",11.8,11.8,11.8,11.8,11.8,11.8,11.8,4,4,4,4,4,4,5,48.2,22.7
"602",2,"Bunazaka",481,"ヤマモミジ",11.2,11.3,11.4,11.5,11.6,11.7,11.7,4,4,4,4,4,4,4,48.2,22.7
"603",2,"Bunazaka",40,"ホオノキ",12.3,12.7,12.8,12.8,13,13,12.5,4,3,3,3,3,4,0,56.3,23.8
"604",2,"Bunazaka",482,"ホオノキ",NA,NA,NA,NA,9.3,10,10.6,NA,NA,NA,NA,5,5,5,56.3,23.8
"605",2,"Bunazaka",648,"ハウチワカエデ",NA,NA,NA,NA,NA,NA,9.3,NA,NA,NA,NA,NA,NA,4,55,19.8
"606",2,"Bunazaka",649,"ハウチワカエデ",NA,NA,NA,NA,NA,NA,10.5,NA,NA,NA,NA,NA,NA,4,55,19
"607",2,"Bunazaka",483,"ハウチワカエデ",NA,NA,NA,10.1,11.1,12.4,14,NA,NA,NA,5,5,5,5,59.3,23.9
"608",2,"Bunazaka",41,"ブナ",93.6,93.4,93.4,NA,NA,NA,NA,4,1,0,-1,-1,-1,-1,58.8,21.7
"609",2,"Bunazaka",42,"ホオノキ",35.5,36.9,39.2,41.1,42.9,46.5,48.9,5,5,5,5,5,5,5,59.9,25.4
"610",2,"Bunazaka",43,"ブナ",11.9,13.3,14.3,15,16.1,18.1,20.8,5,5,5,5,5,5,5,63.8,29.1
"611",2,"Bunazaka",44,"ブナ",16.9,18.3,19.6,21.2,22.7,25.2,28.2,5,5,5,5,5,5,5,57.6,31.7
"612",2,"Bunazaka",45,"ハウチワカエデ",11.7,11.7,11.7,11.9,11.8,11.8,11.8,5,5,4,4,4,4,2,55.1,37.6
"613",2,"Bunazaka",46,"ホオノキ",39.7,41.1,42.3,42.8,43.3,44.8,46.1,5,5,5,5,5,5,5,52.7,33.6
"614",2,"Bunazaka",47,"ブナ",12.4,12.6,13,13.4,13.9,14.9,15.8,5,5,4,5,5,5,5,53,33.7
"615",2,"Bunazaka",48,"ホオノキ",30.5,31.4,32.5,32.9,33.3,34.5,35.2,5,4,5,5,5,4,4,51.4,31.9
"616",2,"Bunazaka",49,"ブナ",10.2,10.3,10.7,10.7,10.8,10.9,11.1,4,4,4,3,4,4,5,52,32.6
"617",2,"Bunazaka",650,"ハウチワカエデ",NA,NA,NA,NA,NA,NA,9.2,NA,NA,NA,NA,NA,NA,3,52.4,32.3
"618",2,"Bunazaka",50,"ハウチワカエデ",10.5,11,11,12.4,12.8,13,13.4,5,5,4,5,4,4,4,53.2,30.9
"619",2,"Bunazaka",484,"ブナ",NA,NA,10.2,11.1,12,13.9,16.7,NA,NA,4,4,5,5,5,52.4,29.7
"620",2,"Bunazaka",51,"ブナ",11.9,12.3,12.8,13.2,13.8,15,16.4,5,5,4,5,5,5,5,48.8,31.3
"621",2,"Bunazaka",485,"ブナ",NA,NA,NA,9.4,9.4,9.2,NA,NA,NA,NA,4,4,3,-1,49.4,32
