"","plot","period","yr1","yr2","Tmin","Tmax","Tmean","Tmaen"
"1","Kaminokodaira",1,2000,2004,2.459,11.259,7.134,6.793
"2","Kaminokodaira",2,2004,2007,1.959,11.259,7.08,6.739
"3","Kaminokodaira",3,2007,2010,1.959,11.259,7.0625,6.7215
"4","Kaminokodaira",4,2010,2013,1.559,11.259,6.7125,6.3715
"5","Kaminokodaira",5,2013,2018,0.959,11.859,6.71333333333333,6.37233333333333
"6","Kaminokodaira",6,2018,2024,1.559,12.359,7.26520173286706,6.92420173286706
"7","Matsuotoge",1,1998,2002,-0.511000000000001,8.589,7.31,3.999
"8","Matsuotoge",2,2002,2005,-0.181,8.289,7.135,3.824
"9","Matsuotoge",3,2005,2008,-1.011,7.989,6.7675,3.4565
"10","Matsuotoge",4,2008,2011,-1.011,8.289,6.975,3.664
"11","Matsuotoge",5,2011,2016,-1.411,8.489,6.64666666666667,3.33566666666667
"12","Matsuotoge",6,2016,2022,-2.011,8.889,6.94285714285714,3.63185714285714
"13","Kagamiishi",1,1999,2004,-2.051,6.749,7.17,2.319
"14","Kagamiishi",2,2004,2007,-2.551,6.749,7.08,2.229
"15","Kagamiishi",3,2007,2009,-2.551,6.749,6.95,2.099
"16","Kagamiishi",4,2009,2012,-2.951,6.749,6.85,1.999
"17","Kagamiishi",5,2012,2017,-3.551,6.949,6.53833333333333,1.68733333333333
"18","Kagamiishi",6,2017,2022,-3.551,7.349,6.9,2.049
