"","plot","period","yr1","yr2","Tmin","Tmax","Tmean","Tmaen","wi"
"1","Kaminokodaira",1,2000,2004,2.309,11.4756666666667,7.065,6.724,51.14988
"2","Kaminokodaira",2,2004,2007,1.20066666666667,11.4756666666667,7.00208333333333,6.66108333333333,51.72402
"3","Kaminokodaira",3,2007,2010,1.359,11.484,6.83333333333333,6.49233333333333,52.21614
"4","Kaminokodaira",4,2010,2013,1.15066666666667,11.484,6.52916666666667,6.18816666666667,52.70826
"5","Kaminokodaira",5,2013,2018,0.825666666666667,12.159,6.725,6.384,53.36442
"6","Kaminokodaira",6,2018,2024,1.634,12.8423333333333,7.36904761904762,7.02804761904762,54.26664
"7","Matsuotoge",1,1998,2002,-0.627666666666667,8.564,7.24833333333333,3.93733333333333,36.9048
"8","Matsuotoge",2,2002,2005,-0.769333333333334,8.50566666666667,7.19375,3.88275,37.47894
"9","Matsuotoge",3,2005,2008,-1.76933333333333,8.09733333333333,6.66666666666667,3.35566666666667,37.97106
"10","Matsuotoge",4,2008,2011,-1.611,8.514,6.72291666666667,3.41191666666667,38.46318
"11","Matsuotoge",5,2011,2016,-2.14433333333333,9.189,6.58472222222222,3.27372222222222,39.11934
"12","Matsuotoge",6,2016,2022,-2.036,9.189,7.00833333333333,3.69733333333333,40.02156
"13","Kagamiishi",1,1999,2004,-2.201,6.96566666666667,7.10833333333333,2.25733333333333,24.54724
"14","Kagamiishi",2,2004,2007,-3.30933333333333,6.96566666666667,7.00208333333333,2.15108333333333,24.98468
"15","Kagamiishi",3,2007,2009,-3.151,6.80733333333333,6.69722222222222,1.84622222222222,25.25808
"16","Kagamiishi",4,2009,2012,-3.35933333333333,6.974,6.6375,1.7865,25.53148
"17","Kagamiishi",5,2012,2017,-3.68433333333333,7.649,6.53333333333333,1.68233333333333,25.96892
"18","Kagamiishi",6,2017,2022,-3.576,7.374,6.89444444444444,2.04344444444444,26.53819
