"","wareki","year","min","max","mean","toya_Tmin","toya_Tmax","toya_Tmean"
"1","S40",1965,1.8,9,5.4,9,17.5,12.9
"2","S41",1966,1.8,8.8,5.3,9.5,18,13.4
"3","S42",1967,2.1,8.9,5.5,9.8,17.9,13.6
"4","S43",1968,2,9.1,5.55,9.8,17.6,13.5
"5","S44",1969,2.3,9.5,5.9,9.4,17.5,13.3
"6","S45",1970,2.1,9.1,5.6,9.5,17.4,13.1
"7","S46",1971,2,9.4,5.7,9.5,17.5,13.2
"8","S47",1972,2.4,10.4,6.4,9.9,18.7,14
"9","S48",1973,2,9.8,5.9,9.7,18.1,13.6
"10","S49",1974,1.7,9.3,5.5,8.8,16.9,12.7
"11","S50",1975,2.1,9.6,5.85,9.8,17.8,13.6
"12","S51",1976,1.8,9.3,5.55,8.9,17,12.8
"13","S52",1977,3,10.2,6.6,9.7,17.6,13.4
"14","S53",1978,2.6,10.3,6.45,9.8,18.4,13.9
"15","S54",1979,3.7,10.5,7.1,10.4,18.9,14.4
"16","S55",1980,3,9.2,6.1,9.2,17,12.8
"17","S56",1981,1.8,8.7,5.25,8.8,17.1,12.7
"18","S57",1982,2.8,9.8,6.3,9.7,18.1,13.7
"19","S58",1983,2.8,9.4,6.1,9.7,17.6,13.4
"20","S59",1984,2.2,8.9,5.55,9.2,17,12.9
"21","S60",1985,3.6,10.4,7,9.8,17.5,13.5
"22","S61",1986,2.6,9.6,6.1,9.1,16.9,12.8
"23","S62",1987,3.7,10.8,7.25,10,18.5,14.1
"24","S63",1988,3,9.3,6.15,9.6,16.8,12.9
"25","S64,H1",1989,3.5,10.4,6.95,10.3,18.1,14.1
"26","H2",1990,4.3,11.3,7.8,11.1,19,14.9
"27","H3",1991,3.9,10.4,7.15,10.6,17.9,13.9
"28","H4",1992,3.5,10.3,6.9,10.3,18,13.9
"29","H5",1993,2.7,9.2,5.95,9.8,17.4,13.3
"30","H6",1994,3.6,11,7.3,10.8,19.1,14.7
"31","H7",1995,2.8,9.7,6.25,9.9,17.9,13.6
"32","H8",1996,2,10.1,6.05,9.7,18,13.5
"33","H9",1997,2.9,10.8,6.85,10.2,18.7,14.2
"34","H10",1998,4.4,11.9,8.15,11.4,19.2,14.9
"35","H11",1999,3.4,11.3,7.35,10.9,19,14.6
"36","H12",2000,2.8,10.8,6.8,10.8,19.1,14.6
"37","H13",2001,2.9,10.8,6.85,10.4,18.9,14.3
"38","H14",2002,3.5,11.3,7.4,10.8,19,14.5
"40","H16",2004,4.4,11.6,8,11.2,19.9,15.2
"42","H18",2006,2.3,11.3,6.8,10.5,18.6,14.2
"43","H19",2007,2.7,11.3,7,10.9,19.5,14.9
"44","H20",2008,2.3,11.2,6.75,10.7,19.1,14.6
"45","H21",2009,2.6,11.6,7.1,10.8,19,14.6
"46","H22",2010,3.2,11.6,7.4,11.2,19.3,14.9
"47","H23",2011,2.4,10.9,6.65,10.4,18.6,14.3
"48","H24",2012,1.9,10.6,6.25,10.5,18.5,14.2
"49","H25",2013,2.1,11,6.55,10.6,19.1,14.5
"51","H27",2015,2.1,11.8,6.95,11,19.2,14.8
"52","H28",2016,2.9,11.5,7.2,11.4,19.7,15.2
"53","H29",2017,1.3,10.7,6,10.4,18.8,14.3
"54","H30",2018,2.4,12.2,7.3,11,19.7,15
"55","H31,R1",2019,2.1,11.9,7,11.3,19.7,15.2
"56","R2",2020,2.6,11.7,7.15,11.5,20,15.4
"57","R3",2021,2.3,12,7.15,11.2,19.7,15.1
"58","R4",2022,1.9,11.7,6.8,11.2,19.6,15.1
"59","R5",2023,2.8,12.7,7.75,11.9,21.1,16.1
