黒部ダム   年間平均気温    1965年～2023年,,,
和暦(年),西暦(年),日最低気温    年間平均(℃),日最高気温    年間平均(℃)
S40,1965,1.8,9
S41,1966,1.8,8.8
S42,1967,2.1,8.9
S43,1968,2,9.1
S44,1969,2.3,9.5
S45,1970,2.1,9.1
S46,1971,2,9.4
S47,1972,2.4,10.4
S48,1973,2,9.8
S49,1974,1.7,9.3
S50,1975,2.1,9.6
S51,1976,1.8,9.3
S52,1977,3,10.2
S53,1978,2.6,10.3
S54,1979,3.7,10.5
S55,1980,3,9.2
S56,1981,1.8,8.7
S57,1982,2.8,9.8
S58,1983,2.8,9.4
S59,1984,2.2,8.9
S60,1985,3.6,10.4
S61,1986,2.6,9.6
S62,1987,3.7,10.8
S63,1988,3,9.3
"S64,H1",1989,3.5,10.4
H2,1990,4.3,11.3
H3,1991,3.9,10.4
H4,1992,3.5,10.3
H5,1993,2.7,9.2
H6,1994,3.6,11
H7,1995,2.8,9.7
H8,1996,2,10.1
H9,1997,2.9,10.8
H10,1998,4.4,11.9
H11,1999,3.4,11.3
H12,2000,2.8,10.8
H13,2001,2.9,10.8
H14,2002,3.5,11.3
H15,2003,測定記録なし,
H16,2004,4.4,11.6
H17,2005,測定記録なし,
H18,2006,2.3,11.3
H19,2007,2.7,11.3
H20,2008,2.3,11.2
H21,2009,2.6,11.6
H22,2010,3.2,11.6
H23,2011,2.4,10.9
H24,2012,1.9,10.6
H25,2013,2.1,11
H26,2014,測定記録なし,
H27,2015,2.1,11.8
H28,2016,2.9,11.5
H29,2017,1.3,10.7
H30,2018,2.4,12.2
"H31,R1",2019,2.1,11.9
R2,2020,2.6,11.7
R3,2021,2.3,12
R4,2022,1.9,11.7
R5,2023,2.8,12.7
