"","no","jna","time","yr","N","haBA","haV","haBAG"
"",1,"美女平",1,1998,437,70.4793794467526,586.627343897763,1
"1",1,"美女平",2,2003,437,73.8884849979808,617.573822024449,1.04837025493114
"2",1,"美女平",3,2006,439,76.0420938859064,637.180190355758,1.07892683622955
"3",1,"美女平",4,2009,442,78.1732207514048,656.431727374018,1.1091644302922
"4",1,"美女平",5,2012,440,80.1105270581399,674.2120011978,1.13665199221375
"5",1,"美女平",6,2016,433,82.4482293485751,695.850832840754,1.16982059143788
"6",1,"美女平",7,2021,427,85.8691724209221,726.923701097583,1.21835880359583
"7",2,"ブナ坂",1,1998,459,44.7675680791521,340.682818520065,1
"11",2,"ブナ坂",2,2002,459,46.3842214485133,354.792502156653,1.03611215526613
"21",2,"ブナ坂",3,2005,462,47.805832179569,365.75627286588,1.06786752621999
"31",2,"ブナ坂",4,2008,473,49.4074090457856,379.406556349488,1.10364290859914
"41",2,"ブナ坂",5,2011,465,50.6272289975159,390.702813103918,1.13089075797022
"51",2,"ブナ坂",6,2015,469,53.0834470854096,411.211356756563,1.18575677355434
"61",2,"ブナ坂",7,2020,477,53.7032173425171,415.977776269531,1.19960095325183
"8",3,"ブナ平",1,1999,192,40.7033116543515,343.127679529054,1
"12",3,"ブナ平",2,2003,199,40.4922107651972,339.179945520934,0.994813667965227
"22",3,"ブナ平",3,2006,204,39.9646250467222,332.873672609468,0.981851928562908
"32",3,"ブナ平",4,2009,220,41.093802981813,341.006920572964,1.00959360090347
"42",3,"ブナ平",5,2012,242,42.4475121146521,350.867756904821,1.04285156144326
"52",3,"ブナ平",6,2017,270,44.7523407795601,367.81555055904,1.09947665093181
"62",3,"ブナ平",7,2023,296,45.1196526510252,366.680853208655,1.10850077836852
"9",8,"有峰",1,2000,264,36.5473929806972,313.547287974164,1
"13",8,"有峰",2,2004,263,37.5580197754121,322.817033074773,1.02765250028227
"23",8,"有峰",3,2007,256,37.8866256545887,326.319782295903,1.03664372653335
"33",8,"有峰",4,2010,265,39.0040147632469,336.177620349814,1.06721742871912
"43",8,"有峰",5,2014,261,39.6523986462433,342.425163403316,1.08495833525488
"53",8,"有峰",6,2019,252,39.497391679317,342.117686372046,1.08071707604911
"10",4,"上ノ小平",1,2000,480,49.7164970266194,404.307495100721,1
"14",4,"上ノ小平",2,2004,492,51.7408748985274,421.363508853218,1.04071843337683
"24",4,"上ノ小平",3,2007,516,52.8573882882334,430.241593521452,1.06317603711968
"34",4,"上ノ小平",4,2010,548,54.8221811744929,446.076494536883,1.10269597524419
"44",4,"上ノ小平",5,2013,564,55.8521248370366,454.761923542039,1.12341231135275
"54",4,"上ノ小平",6,2018,590,58.9729358552229,480.900533119848,1.18618445349533
"15",6,"美松",1,1999,227,25.6431542163508,195.731246311779,1
"16",6,"美松",2,2003,229,25.279847875519,192.200802668264,0.985832228837119
"25",6,"美松",3,2007,232,26.041421771028,198.798776935997,1.01553114532312
"35",6,"美松",4,2010,240,26.425307114537,201.276378685213,1.03050143097012
"45",6,"美松",5,2014,242,25.4452008924517,192.356062980831,0.992280461201111
"55",6,"美松",6,2019,260,25.6689152761102,193.241452038646,1.00100459793449
"17",5,"松尾峠",1,1998,177,22.9709265007816,177.193140248061,1
"18",5,"松尾峠",2,2002,176,23.265033718507,180.043200578844,1.01280345473725
"26",5,"松尾峠",3,2005,179,23.3292125765529,180.450048350679,1.01559737156266
"36",5,"松尾峠",4,2008,173,23.1856967701552,179.791675858326,1.00934965637396
"46",5,"松尾峠",5,2011,175,23.1583334981425,179.19426316882,1.00815844312394
"56",5,"松尾峠",6,2016,179,24.146078502765,187.86408846918,1.05115823264436
"63",5,"松尾峠",7,2022,175,23.9392737415645,187.203430814041,1.04215534104599
"19",7,"鏡石",1,1999,125,12.1196361390187,60.3365767618299,1
"110",7,"鏡石",2,2004,128,11.9098782807238,58.6284067080297,0.982692726424387
"27",7,"鏡石",3,2007,136,12.3507191282462,61.0818393251106,1.01906682565193
"37",7,"鏡石",4,2009,140,12.0060361486649,57.8848979196847,0.99062678210379
"47",7,"鏡石",5,2012,146,12.4732035426243,60.1570586982465,1.02917310384157
"57",7,"鏡石",6,2017,147,13.7380464440714,67.0035261519161,1.13353621234901
"64",7,"鏡石",7,2022,149,14.7355021115862,72.7839190191455,1.2158370055472
